valence,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo
0.8170000000000001,0.0158,0.551,214933,0.863,0,3Bdqlr7jQLNhITAgcBGQBG,0.0,0.0843,-3.506,Close Your Eyes,1,0.0322,143.952
0.5479999999999999,0.00661,0.494,234627,0.887,1,7sLpSWxQazJzDVG6YGzlVs,0.0,0.103,-4.297,99 Problems,1,0.398,89.554
0.732,0.0477,0.59,235507,0.94,0,3BuPop8SzLG2Q88TJcFAjp,0.0,0.379,-4.124,Raised On It,1,0.0409,94.02
0.475,0.000473,0.34,288947,0.974,0,7EvjTEzuv7TWaIaWY63sWV,0.0928,0.373,-5.114,Drifter - 2015 Remaster,0,0.106,101.276
0.55,0.994,0.41,197653,0.1689999999999999,0,38PozVGXXoeO8dTEVzy74Y,0.901,0.113,-18.862,Soultana maurofora,0,0.0391,93.89
0.973,0.389,0.875,169760,0.391,0,1HK6Zbd0cqB6c67jLVtWjI,0.0,0.04,-7.548999999999999,Just Because,0,0.049,127.005
0.607,0.742,0.482,168267,0.272,0,3GBqKmJ62SJ943NQ9i1JuE,0.0,0.0803,-13.752,A Girl in the Night,0,0.0349,115.669
0.271,0.485,0.495,301960,0.351,1,7t1lBIr3WIEtqQEOdZFMUf,0.0,0.0967,-14.669,Look What You've Done,1,0.34,134.369
0.6859999999999999,0.0481,0.757,212640,0.848,1,2rzBvHM9h36Tpdj7Jdajka,0.0,0.121,-4.234,Wild for the Night (feat. Skrillex & Birdy Nam Nam),1,0.335,139.995
0.439,0.105,0.675,213598,0.414,0,1abFkY2jm6KDFMZ7RD9YJh,0.0,0.192,-6.507999999999999,Painkiller,1,0.0569,128.92700000000002
0.54,0.723,0.311,167653,0.4,0,1YE46BFFZ0k0Ps9B7khRHs,0.0,0.127,-13.444,Available,0,0.0342,77.6
0.469,0.000116,0.589,191960,0.983,0,7vSLczWXW1fHRlngshcwS6,0.00198,0.0627,-2.521,Voices,1,0.121,110.007
0.815,0.122,0.588,273984,0.574,1,2a6dHVNf5lzWUaQHc2JDRq,0.0,0.371,-6.813,So Icy (feat. Young Jeezy),1,0.379,122.74
0.265,0.178,0.515,216120,0.593,0,4ImYwDlqjqxCRxnRe66rBa,1.63e-05,0.155,-6.885,Gone Too Soon,1,0.0253,95.967
0.0799,0.00194,0.422,232333,0.6779999999999999,0,3EP7G1q7sjCYHZiWLGCw0V,8.109999999999999e-05,0.0687,-7.355,"If I Told You This Was Killing Me, Would You Stop?",1,0.0421,150.238
0.157,0.948,0.303,258266,0.0141,0,360beQMahQ2FdZ9OmWYiBT,0.0944,0.0792,-19.759,Naima,1,0.0418,171.43900000000005
0.38,0.457,0.157,166333,0.382,0,0OuPMjmicFfmnB3SFFqdgQ,0.0,0.1669999999999999,-8.875,Will I,1,0.0313,178.017
0.1,0.123,0.26,188813,0.391,0,6zMJGaKAz5Jq6RO2mo5N3p,0.0,0.0965,-8.158,Wholy Holy - Mono Single Version,0,0.0316,91.495
0.334,0.038,0.389,183567,0.768,1,0OtK6gE4DipBy7u3rUWBvJ,0.0,0.119,-4.765,WRONG (feat. Lil Mosey),1,0.256,90.146
0.428,0.985,0.454,56067,0.308,0,4OXwLmIZE4CNUH6MzhtfvI,0.0396,0.696,-15.946,"Hermit Songs, Op. 29: The Praises of God",0,0.124,118.166
0.462,0.523,0.346,185000,0.541,0,4sNHs90rxBaSoHb6lga2Ov,0.965,0.385,-12.467,The Bells of Dublin/Christmas Eve,1,0.0447,108.671
0.453,0.156,0.852,202840,0.87,0,7He25ABYo4EgDmZGtJBwdW,0.306,0.0205,-2.367,Bota y Tambo,1,0.109,125.136
0.486,0.389,0.211,208173,0.442,0,3NpQNZnoupSo1ZF9SMO4O1,0.711,0.36,-8.135,The Invasion of Kushana,0,0.0312,76.923
0.6579999999999999,0.188,0.6779999999999999,315771,0.5670000000000001,1,5sWbwccBcyHsg5LEKWGZo9,1.67e-06,0.1639999999999999,-9.148,BRACKETS,1,0.261,84.039
0.269,0.915,0.261,302533,0.379,0,1xwNkmeMAlio5U8hPWHMHq,0.845,0.146,-10.377,A Tree Grows in Brooklyn: Overture,0,0.0342,111.529
0.341,0.959,0.785,286378,0.122,0,1hqQD9G2qUMq3iiDhqhetT,0.931,0.118,-22.617,Exactly Like You,1,0.0406,118.979
0.302,0.00654,0.332,276560,0.753,1,6Xpw5ZIzI3TaHbM9rwm1l8,1.22e-06,0.385,-4.296,Nickel Sized Hail (feat. Colt Ford),1,0.0389,140.02100000000002
0.8540000000000001,0.301,0.629,236160,0.5479999999999999,0,1FerGrTyGsT1KufVFVuvA4,8.120000000000001e-05,0.206,-13.258,Just Another Day in Paradise,0,0.0366,124.784
0.913,0.0612,0.359,158929,0.519,0,5iDJ1L6f4yiLhullAKM3nU,0.000164,0.352,-8.508,Señorita Cantinera,1,0.0522,186.331
0.414,0.505,0.76,221419,0.568,1,0rhxoXFMKRtm1dQJfi72Yh,0.0,0.107,-3.92,No Heart,1,0.0558,77.482
0.0797,0.995,0.436,345600,0.0589,0,2lXgHv74X0FzRews9Kgo9E,0.902,0.118,-16.857,I Let A Song Go Out Of My Heart,0,0.0472,69.327
0.4270000000000001,0.601,0.522,136400,0.252,0,1LwiP981p77q2Fxud5XU2E,0.0,0.462,-11.162,Devoted To You - Remastered,0,0.0262,93.763
0.556,0.221,0.632,274787,0.6859999999999999,0,7fBriLorh3BZIXE1aDxTkh,0.000306,0.124,-6.932,Gangs In The Street - Remastered 2006,0,0.0315,108.33
0.7979999999999999,0.0214,0.66,281760,0.669,0,2BuTposwmSKxFBgEoi4jES,0.0117,0.27,-14.895,Power of Love,1,0.0418,120.989
0.526,0.7509999999999999,0.518,167307,0.143,0,3Cy7ZOXRc5TOo9uwqpyE1L,0.00417,0.104,-17.281,Blood on the Floor,0,0.0271,81.258
0.6459999999999999,0.0212,0.4270000000000001,245067,0.947,0,1k9HQORW9eNnQhv8me7ERI,0.00405,0.158,-9.792,Out on the Tiles,0,0.0563,93.853
0.357,0.994,0.63,130880,0.166,0,04UZXaYJa8yDBcjfdz8T9x,0.0,0.105,-10.186,Making Love Ukelele Style,0,0.0549,125.992
0.297,0.987,0.484,274467,0.128,0,256v6BnPf5Y2k2a37ZzUNn,1.02e-05,0.16,-19.312,"Le nozze di Figaro, K. 492, Act IV Scene 8: Tutto è disposto … Aprite un po' quelgli occhi (Figaro)",0,0.0668,122.656
0.38,0.482,0.536,200373,0.664,0,1N2fNKIlJJ6PQgcVD1GrBP,0.0,0.0925,-4.735,Where I Belong,1,0.0276,89.963
0.732,0.995,0.725,170000,0.2,0,0E5tqJq0ShcgIOByzMO82v,0.4370000000000001,0.112,-9.056,Flor de Ceibo - Remasterizado,0,0.0788,114.384
0.171,0.958,0.263,169080,0.0346,0,60iHtNrA3WoJsXa1dgjGAZ,0.0,0.115,-18.395,Silent Night,1,0.0409,80.273
0.8440000000000001,0.753,0.662,192493,0.438,0,4JbUNPzmze5UFDX4x0jOHp,0.708,0.0726,-16.232,Arrive Derce Roma,0,0.0315,127.206
0.151,0.5660000000000001,0.438,238500,0.315,0,4jSE5cAaa5rwTyhDSXfwQN,0.0,0.606,-10.941,say it over (feat. Cautious Clay),1,0.044,156.031
0.954,0.5539999999999999,0.7709999999999999,198356,0.418,0,4u6zS8iQZ7Y6LgW7WXwaLb,1.85e-06,0.0528,-7.2,Así Te Quiero,1,0.053,126.26
0.481,0.991,0.247,356307,0.224,0,33uFZFAIQCpGfVGNrRvBHK,0.89,0.102,-19.505,"Polonaise in A-Flat Major, Op. 53 ""Heroic""",0,0.034,83.581
0.836,0.76,0.6,143333,0.364,0,3vNjmFiKa1MFpdetnDFlha,0.00296,0.0454,-13.289,Little Girl,0,0.0315,137.541
